text,label
Unprecedented high speaking speed.,0
This course states that it is for people with no knowledge in SAS. I had to go online elsewhere to learn SAS before completing this course. There are free SAS tutorials on the SAS webpage - I highly recommend completing them before trying this course.,0
"I was really disappointed with this course, especially considering how great the first course was. IMO...there was too large of a jump between the two courses, and the plethora of ""I'm totally lost..."" threads in the forums would seem to back up my opinion. I'm currently reading Head First Android Development and it is exactly what I needed to grasp basic concepts as well get my bearings in the Android world. If this class remains the same I wouldn't be surprised to see attendance drop in further courses and/or Coursera starts receiving complaints about the difficulty.",0
doesn't show the videos.,0
"This is the specialisation that sucks all joy out of the entire course. 6 month on and I am still on week 2. The software and the provided files are not fully working, something is always missing, constant error messages... If you don't have background in statistics, you will have a very difficult time.",0
Course was taught by people who gave no indication they had ever bought a security. They read flatly from the teleprompter and rarely looked at their audience. Very disconcerting and not conducive to trusting what is being said.,0
"Poor context, no real examples. The guy just reads what is written on the slides without further explanations.",0
"Just garbage. This course and its twin ""Introduction to Smart IoT Devices"" are an expression of imposture at high level. Fortunately, the other courses in EIT Digital series are very interesting.",0
"Really bad course. Badly taught, strange choice of assignments and quiz questions. Unfortunately, I did the free trial and Coursera didn't process my cancellation so that I had to pay for a whole month for this.Complete waste of time AND(!!!) money!",0
"This is way too esoteric. The content was delivered way too fast for me to keep up and process it. This needs to be taught with more frequent hands on examples. I'm also not sure why, if auditing, we can't submit and see how we're doing on the learning. I have no way to evaluate if I'm picking up the concepts or not, which is a struggle. Overall, I would not recommend this course for R beginners. I would look elsewhere.",0
Need English Version Please,0
"The first few weeks are truly beginner/intro course stuff and the entire course is well taught. However, weeks 4-7 ramp up at far too fast of a pace. I spent 8-10 hours every week trying to keep up and it just moved too fast. The instructor was doing things at breakneck speed with little explanation. It gets very discouraging by the end because you simply can't play the material. I think this course is really for people who are re-learning guitar or already have musical backgrounds.",0
"It is very interesting, but we have to face problems with Teradata, I have not been able even to log in, and a lot of students are in the same situation, and the problem persists, even in the duedate of the test.",0
Very confused. So there is little point. Only vague news ... nothing substantial!,0
"The lesson is really boring , and the lecturer just reads the slides. And there is no any interaction on the slides, or explaining on the graphs and meaning of sentence. Just read it through. I am enough of this kind of lesson.",0
"Very low level , im sorry but this cant be even considered a good intro to HTML,CSS im going to stop wasting my time watching this.no chllange in the assignments or questions , + more of an overview of the basics then the basics ..",0
Not really useful ~ I would like to email in a PDF file of comments,0
"Not really well produced for the media. Too much instruction of the teacher, few practice instead.",0
Not what expected ...,0
