text,label,logits
Unprecedented high speaking speed.,0,"[8.956373317718532, -2.4668127882075463, -2.7452177439161787, -2.1060701036072222, -2.0089369734901106]"
This course states that it is for people with no knowledge in SAS. I had to go online elsewhere to learn SAS before completing this course. There are free SAS tutorials on the SAS webpage - I highly recommend completing them before trying this course.,0,"[9.616254435030534, -2.932948100055484, -2.4298195456610174, -1.5075292284177724, -2.9470598563227126]"
"I was really disappointed with this course, especially considering how great the first course was. IMO...there was too large of a jump between the two courses, and the plethora of ""I'm totally lost..."" threads in the forums would seem to back up my opinion. I'm currently reading Head First Android Development and it is exactly what I needed to grasp basic concepts as well get my bearings in the Android world. If this class remains the same I wouldn't be surprised to see attendance drop in further courses and/or Coursera starts receiving complaints about the difficulty.",0,"[9.245813442985636, -1.2916378874888805, -1.6474596926608642, -2.4617052248058213, -2.939781728586162]"
doesn't show the videos.,0,"[9.802722341682397, -2.410772845777323, -2.0042216419892984, -2.992201266509866, -1.9804796645602292]"
"This is the specialisation that sucks all joy out of the entire course. 6 month on and I am still on week 2. The software and the provided files are not fully working, something is always missing, constant error messages... If you don't have background in statistics, you will have a very difficult time.",0,"[9.702644735976053, -2.644885453556377, -1.3326926059789737, -2.5985460498829687, -1.821011413865036]"
Course was taught by people who gave no indication they had ever bought a security. They read flatly from the teleprompter and rarely looked at their audience. Very disconcerting and not conducive to trusting what is being said.,0,"[8.27401817557193, -1.7114938856572608, -1.701527517184653, -2.9217491228622183, -1.7578497749182724]"
"Poor context, no real examples. The guy just reads what is written on the slides without further explanations.",0,"[9.40709227434202, -1.8861833316046253, -1.4507404479763344, -1.4057363968291166, -2.3556261093025035]"
"Just garbage. This course and its twin ""Introduction to Smart IoT Devices"" are an expression of imposture at high level. Fortunately, the other courses in EIT Digital series are very interesting.",0,"[8.079362689513042, -2.600033085599785, -1.364813095820189, -2.685057149724226, -1.4152509061539]"
"Really bad course. Badly taught, strange choice of assignments and quiz questions. Unfortunately, I did the free trial and Coursera didn't process my cancellation so that I had to pay for a whole month for this.Complete waste of time AND(!!!) money!",0,"[8.353863993234757, -1.5336174664609468, -1.199964182899709, -2.712073773698623, -2.9739042994501066]"
"This is way too esoteric. The content was delivered way too fast for me to keep up and process it. This needs to be taught with more frequent hands on examples. I'm also not sure why, if auditing, we can't submit and see how we're doing on the learning. I have no way to evaluate if I'm picking up the concepts or not, which is a struggle. Overall, I would not recommend this course for R beginners. I would look elsewhere.",0,"[9.629178732266974, -1.6220865837875829, -2.205037578055959, -1.8284039995984578, -1.5879705908078967]"
Need English Version Please,0,"[8.92900413172599, -1.663598939076215, -2.589026200104432, -2.239845023030065, -1.8008204232533864]"
"The first few weeks are truly beginner/intro course stuff and the entire course is well taught. However, weeks 4-7 ramp up at far too fast of a pace. I spent 8-10 hours every week trying to keep up and it just moved too fast. The instructor was doing things at breakneck speed with little explanation. It gets very discouraging by the end because you simply can't play the material. I think this course is really for people who are re-learning guitar or already have musical backgrounds.",0,"[9.918617357537428, -1.399993343981065, -1.9547396234600019, -2.3286399475653266, -1.9098331131609367]"
"It is very interesting, but we have to face problems with Teradata, I have not been able even to log in, and a lot of students are in the same situation, and the problem persists, even in the duedate of the test.",0,"[8.702091737791259, -2.292993538781082, -1.3267600776085822, -1.7201499728622327, -2.6659298171426355]"
Very confused. So there is little point. Only vague news ... nothing substantial!,0,"[9.135855370770907, -2.510280669312943, -2.6793702120502805, -2.5999669571675934, -2.776926277369975]"
"The lesson is really boring , and the lecturer just reads the slides. And there is no any interaction on the slides, or explaining on the graphs and meaning of sentence. Just read it through. I am enough of this kind of lesson.",0,"[9.311642585961415, -2.3907748433007865, -2.9188392985231335, -1.5487709450241203, -2.378515994917408]"
"Very low level , im sorry but this cant be even considered a good intro to HTML,CSS im going to stop wasting my time watching this.no chllange in the assignments or questions , + more of an overview of the basics then the basics ..",0,"[8.770888602468064, -1.391451761940884, -1.692918480898437, -2.8498612804784305, -1.1660191069229398]"
Not really useful ~ I would like to email in a PDF file of comments,0,"[9.795718076711792, -2.6301400162993005, -2.8015661040496767, -1.5056019562609892, -1.2612372675682368]"
"Not really well produced for the media. Too much instruction of the teacher, few practice instead.",0,"[8.670739479592859, -1.0142213631147508, -2.6006299870458967, -2.1392012735856056, -2.619455827726469]"
Not what expected ...,0,"[9.88631568540243, -1.3764342050252278, -1.7614352575879832, -1.628982236130935, -1.572087698235759]"
"A list of research papers to read further that's it. The course is too short to cover the subject so it covers nothing in the end.The programming assignment have no help, whatsoever it's ""do it"" any language. The 2 programming assignment doesn't have much to do with the course. We don't even talk about the algo to use to do it. It looks like coursera has asked the professor to add a programming assignment to the course and he had 3 minutes to choose what it could be.It shouldn't be advertised in coursera as it is.Ah, forgot to mention that no one replies to the forums,actually no one uses them.I think the subject is very interesting but this course gives a really bad advertising to Coursera, the university and the professor.It needs more work before it's deployed on the platform.I am going to try another Coursera course in the same kind of subject I hope it won't be the same.",0,"[8.887446389654798, -2.849637388590464, -1.1335094556518996, -2.1700016838901366, -2.817828310862348]"
"No forum, what are you thinking!",0,"[9.904581584630554, -1.1997978583048905, -2.961904957867098, -1.6144693191582697, -2.4081122669063384]"
"There is no instruction with this course. If you've never written a script before you're not going to get a lot of help here other than researching things yourself, which you can do without this course. Not to mention, the feedback is minimal and not all that helpful. For example. if i've never written a script, what value am I to someone else who has also never written a script. And what value is their feedback to me. I signed up to get some experience and to also get feedback from those more experienced than I. I'm less interested in what my peers have to say and more interested in the feedback of the instructor who has years more experience than most of us. To pass assignments off of 4 or 5 peer reviews is worthless. There's no value in that. What does the instructor think??? Would HE pass us? He occasionally drops a line in the discussion forum, but no direct feedback to the students.I think this class should have a cap on enrollment so that the instructor can actually review and provide feedback to the students. Joke's on anyone paying $49 to essentially teach yourself. This guys just sits back and ""moderates"" when he can.The best thing about this class is that it does force you to write, but beyond that, it's not helpful at all. Truly disappointing.",0,"[8.801054172659503, -2.4417634650851596, -1.4236138738571287, -1.1601500934355216, -2.5085722040057714]"
"Totally disorganized, mis-managed, unfairly graded course!",0,"[9.897967691795733, -2.505924526337689, -1.7095457002798424, -1.8112023157925785, -1.1258506414392935]"
Submission is buggy and final assignment is confusing. Almost more than half of students failed this course because of it.,0,"[8.763234070531194, -1.7686182968987119, -1.1250006247379507, -2.29206557094233, -1.6689049304802923]"
This specialization is delayed for months now - very annoying! Don't give them money!,0,"[9.89091929200908, -2.3213621608407937, -1.51699541832003, -2.7587152109466384, -1.931828881247826]"
This capstone is unavailable most part of the year. I paid in advance for the complete Digital Marketing Specialisation which is a 1 year subscription thinking I can complete the course anytime I want (that is how they advertise it). I finished all the theory well within the 2 months into my enrolment. When I came to the capstone project it was unavailable and for almost 3-4 months. When I contacted coursera.org they had no clue when it is going to start. I am a working professional and my schedule gets very busy when I am on projects. And ever since then whenever the capstone is available my schedule has been very busy. I have completed 2 Assignments in capstone and 4 to go and the 1 year subscription is over. Coursera.org says I have to pay for it again to continue which I am never willing to. There is no courtesy to a student/customer who has paid for the course. I have paid in full but I don't have the Digital Marketing Specialisation Certificate. This platform is more about money than education.,0,"[8.325449540165957, -1.0975481793323405, -2.369276499564072, -1.4875940815723516, -1.9237050875599588]"
