text,label
teacher:Why wouldnt it be okay,0
teacher:Why do we estimate,0
teacher:Sean why do we estimate,0
teacher:But why,0
teacher:Why was it two,0
teacher:But why;student:Multiplied two times six and I got 12,0
teacher:Why did you also do it on the bottom,0
teacher:Now why does that make sense,0
teacher:And why you think its true;student:Its true,0
teacher:It is why,0
teacher:Is there anyone who can explain why they think its true,0
teacher:Who havent I heard from Emiliano what do you think,0
teacher:So why are they not the same,0
teacher:Why am I keep saying this,0
teacher:Even if you are Miss Gaby and Miss Tati and Miss Delilah and Mr Emiliano or the others that know that one half is equal to zero and five tenths the question is why,0
teacher:Why do you think this is equal to this,0
teacher:How come we dont do the same thing we did with the third to the fourth,0
teacher:Why can we not tell for sure the way its written,0
teacher:Why can we not tell the way it is that we should not be able to know the answer the way it is written right now why not,0
teacher:Why do we find a common denominator,0
teacher:Why do we have to find a common denominator turn it into 96 pieces;student:Um,0
teacher:Why cant we compare them,0
teacher:What did she say why we could not compare them originally Noah,0
teacher:So Mr Max why do we find a common denominator,0
teacher:Who can tell me why we estimate first,0
teacher:Why  estimation,0
teacher:Hunter can you explain your thinking for this one please,0
teacher:38 and how did we know it was 38;student:38,0
teacher:Sandra why,0
teacher:Rogelio why are you saying false,0
teacher:Wait why did you change this to a three,0
teacher:44 why;student:44 34 24 and all the way to 1,0
teacher:Karen why do you think its going to be greater,0
teacher:Kayla can you explain the rule why we know its going to be less than 78,0
teacher:Why,0
teacher:How do we know that 14  24 is greater than 12,0
teacher:Rita explain how you knew,0
teacher:Who wants to share their thinking,0
teacher:Eliza show your thinking please;student:Yes,0
teacher:Ay yay yay Hunter why do we want to find a common denominator;student:Becuase you want to know what the warm up was about,0
teacher:38 and how did we know it was 38;student:38,0
teacher:Why  estimation,0
teacher:Who can tell me why we estimate first,0
teacher:Why do we estimate,0
teacher:Drew why do we estimate,0
teacher:Why else is it important to show your work,0
teacher:Explain your thinking,0
teacher:Why does he measure on the bottom,0
teacher:Is there any information from your graph that can help you think that;student:Okay so  I think its 12 inches because first of all in this video it says they get to 12 inches and then second of all they look 12 inches because they look like the size of a ruler,0
teacher:How do you know from this graph,0
teacher:why do that,0
teacher:Why do we multiply,0
teacher:Blake can you explain your thinking for this one please,0
teacher:Kathleen,0
teacher:Rule number two that were working on today which is what were doing right here is whatever you do to the bottom you do to the top but why,0
teacher:Why do we have to do that,0
teacher:Why shouldnt we just do what I did which is multiply them together,0
teacher:Why;student:Yes,0
teacher:Why,0
teacher:Visually we saw that it worked but mathematically why isnt it working,0
teacher:Mathematically why doesnt that work,0
teacher:Why cant I add these together,0
teacher:Why did you say there at the end whatever you do to the bottom you do to the top,0
teacher:Why not;student:No,0
teacher:Why doesnt our first one work,0
teacher:Talk as a table why doesnt our first one work now,0
teacher:AJ why can we not compare these two fractions the way they are,0
teacher:So why is this the right answer,0
teacher:Yes but why is this not the right answer;student:Yes,0
teacher:Why is this not the right answer,0
teacher:If this was pizza why does this not work,0
teacher:Why does it not work,0
teacher:Why doesnt it work,0
teacher:Why not;student:No,0
teacher:What is it and why,0
teacher:What you think it is and why,0
teacher:Why;student:Its hard,0
teacher:Why,0
teacher:Tell them why did you choose onefourth plus onefourth plus onefourth,0
teacher:Why is that okay,0
teacher:But why,0
teacher:Why,0
teacher:Why,0
teacher:Why whatever we do to the bottom do we have to do to the top,0
teacher:But why,0
teacher:Why is it twofourths Savannah,0
teacher:Why are we multiplying them both by eight,0
teacher:Why is it that for number one you can find the answer even without finding a common denominator Marie,0
teacher:Why can we do number one even though it does not have a common denominator,0
teacher:Why were using 24,0
teacher:Okay who can explain to Mr Jack why were using 24,0
teacher:Polly please tell Mr Jack why were using 24,0
teacher:Why does that work,0
teacher:Why does that work,0
teacher:Knowing the rule is great but you have to understand why is it a rule,0
teacher:Why does that work,0
teacher:Why does it work,0
teacher:But why does that work,0
teacher:Why Mr Parker that get us a common denominator,0
teacher:How come;student:So basically we multiply those two together eight times three and then you get 24,0
teacher:Who thinks they can explain why we did that,0
teacher:Why;student:So what you do was,0
teacher:Why,0
teacher:Can you explain why multiplying our two denominators works,0
teacher:But why;student:Because you can always multiply,0
teacher:Youre right guys this is this is the most important part of the math learning today is why,0
teacher:Please tell us how you knew 48 would work,0
teacher:Why does multiplying your denominators together work,0
teacher:Why,0
teacher:Why;student:I think its false,0
teacher:112 why did you say a twelfth;student:You just shaded in 112,0
teacher:Because;student:24,0
teacher:Touch your shoulder partner dont do anything and just explain what you think the answer is and why,0
teacher:10 and how do you know;student:10,0
teacher:Why do Ms Gibsons look like concise answers,0
teacher:Why did we call them relational symbol,0
teacher:Nivea how do you know its equal;student:Can I have the marker,0
teacher:Roberto how did you know that it is less than,0
teacher:Hudson tell me why the answer is less than,0
teacher:It less than because,0
teacher:Anytime you,0
teacher:When you;student:When you,0
teacher:Why do you use multiplication in area,0
teacher:How do you know;student:Multiplication,0
teacher:No its not even greater than nine how do you know,0
teacher:Lisa why do I have people share their strategies,0
teacher:Why do you suppose,0
teacher:Tera why do I have people share their strategies,0
teacher:How do we know that the decimal in the first problem is correct,0
teacher:How do we know the decimal in the first problem is correct,0
teacher:Okay do you see why we did this,0
teacher:Why thats 10 to the first and times 10 squared,0
teacher:Can you tell us what youre doing and why,0
teacher:Why even do the math problem if we dont understand what its tell us,0
teacher:How do you know;student:That would be 40,0
teacher:0059 and how did you know;student:The answer is 0059,0
teacher:Franc what was your answer and why did you get that,0
teacher:Can somebody explain why it would just be six,0
teacher:Then could someone help us out why is this problem more challenging than the first problem,0
teacher:Melvin why is this one more challenging;student:Because its easy,0
teacher:Tobias why are these more tricky,0
teacher:In this case for example I would ask Missy why do you think your answer is correct,0
teacher:Missy needs to tell the group why she thinks that her answer is correct,0
teacher:Okay so just because I dont want to spend a lot more time on it can I get somebody else to explain what your consensus was and why,0
teacher:Okay and why;student:Our consensus was zero,0
teacher:Why are you changing directions,0
teacher:Abby you think it is less than why do you think so,0
teacher:Mika why did you know the answer is yes,0
teacher:Why,0
teacher:Why or why not,0
teacher:If she uses her rule what do you think the new trapezoid will look like and why,0
teacher:How could you prove that,0
teacher:Was there a reason why you started with a bigger number,0
teacher:They use two grids because why,0
teacher:Last year I know that in fourth grade you got asked a lot why would you do an estimate or how do you know that your number made sense,0
teacher:Why do you do an estimate,0
teacher:Why would I throw that in now,0
teacher:Why six times eight,0
teacher:Why do I make these connections for why am I helping you make connections,0
teacher:Why is that importantFranc,0
teacher:Why do you have to explain,0
teacher:For your T why do I want you to use a model;student:To show others how to do it,0
