text,label,logits
teacher:Why wouldnt it be okay,0,"[9.398973507315496, -2.2564829979085075, -1.9352318150384094, -2.1305981434090517, -1.6651227902356827, -1.8635617633617803]"
teacher:Why do we estimate,0,"[9.162682367460716, -1.456849465774267, -1.4525349686653115, -2.9372833396377658, -1.8879198847408913, -2.7999873199809127]"
teacher:Sean why do we estimate,0,"[8.315198743060794, -2.765272396152036, -1.0835934625802515, -1.796478726375082, -2.780239650181551, -1.707689192704837]"
teacher:But why,0,"[9.928684818070732, -1.4851578590164989, -1.2670862717315685, -1.0268367504274845, -2.597719442262897, -1.5773752359829312]"
teacher:Why was it two,0,"[9.651518870219778, -1.482118263954546, -1.962989310891175, -1.5081954795727586, -1.440118894786933, -1.5792396246340281]"
teacher:But why;student:Multiplied two times six and I got 12,0,"[8.583176457023985, -1.895923489968671, -1.5726616134529305, -2.7390875581477134, -2.567747456431523, -1.2123195534933098]"
teacher:Why did you also do it on the bottom,0,"[8.223659617559596, -1.4978311432605975, -1.0335398923588097, -2.9275694154838003, -2.3498150899625383, -1.6875285170412242]"
teacher:Now why does that make sense,0,"[8.233816494157743, -1.0446315960928205, -2.3798768010564793, -2.474433562116971, -1.9020421830766978, -2.7628871414076874]"
teacher:And why you think its true;student:Its true,0,"[9.453678935141799, -1.5187732593947072, -1.1467453489217254, -2.630618200453884, -2.326425703687697, -2.7993917675547944]"
teacher:It is why,0,"[8.954394598347116, -1.6019120077017377, -2.24353625515928, -2.7905959691108526, -1.988969906689614, -2.020664539138758]"
teacher:Is there anyone who can explain why they think its true,0,"[9.618882920934086, -1.7068262770371092, -1.6317607656337738, -2.2200445486455553, -2.5334909003031916, -1.1373697277492123]"
teacher:Who havent I heard from Emiliano what do you think,0,"[8.435090850759899, -1.5761348695559956, -1.2941352394041803, -2.793662014150293, -2.7326256640958935, -2.7621650817878045]"
teacher:So why are they not the same,0,"[8.948521734756312, -1.0587768667441142, -2.205882069683705, -2.4658830122952766, -1.9923107338342823, -1.457735453233087]"
teacher:Why am I keep saying this,0,"[8.701372545234602, -2.300811746387218, -1.2870446046201776, -1.967428538338973, -2.885056301580457, -2.480976143445214]"
teacher:Even if you are Miss Gaby and Miss Tati and Miss Delilah and Mr Emiliano or the others that know that one half is equal to zero and five tenths the question is why,0,"[9.935393162291291, -2.158142315956656, -1.5931714460649804, -1.63067886271704, -2.512879132554583, -1.9518213414113699]"
teacher:Why do you think this is equal to this,0,"[8.301072950435598, -1.3490183804945086, -1.9728665110579668, -1.420011877227224, -2.372934677126911, -2.173622944929276]"
teacher:How come we dont do the same thing we did with the third to the fourth,0,"[8.107898948840809, -1.5859219256334074, -1.631549526772396, -2.0320337140136107, -1.2116544568203427, -1.7890876471676724]"
teacher:Why can we not tell for sure the way its written,0,"[8.508922680362282, -2.8620943006433333, -2.4209523950211587, -2.7293169677479625, -2.5220812739831904, -2.2366100893673497]"
teacher:Why can we not tell the way it is that we should not be able to know the answer the way it is written right now why not,0,"[8.654842343447978, -2.1846246020825513, -1.7470163958647795, -1.1439151983570794, -1.929894450736094, -1.8052892357256014]"
teacher:Why do we find a common denominator,0,"[9.690519906238864, -1.4794842905160495, -2.3636760259719662, -1.5015975164951334, -2.268844904380927, -1.2331063743485475]"
teacher:Why do we have to find a common denominator turn it into 96 pieces;student:Um,0,"[9.811353157518706, -1.4722027707340906, -2.1985101744267235, -2.932873472112214, -2.5288868028297165, -1.7295913319352965]"
teacher:Why cant we compare them,0,"[9.660556795938739, -1.3060550221186429, -1.2983658864299004, -2.1002448496955473, -2.0603234830281005, -1.9526845088447307]"
teacher:What did she say why we could not compare them originally Noah,0,"[9.460652261679726, -2.32078673690783, -2.0474206056224658, -1.302742726215022, -2.462861447430984, -2.915609589814998]"
teacher:So Mr Max why do we find a common denominator,0,"[8.501899476090097, -2.613586313145218, -2.215602599705086, -1.1684127759706335, -2.3161005032347557, -1.7968179693253217]"
teacher:Who can tell me why we estimate first,0,"[9.660291736555644, -2.511886330925, -2.2498286658756905, -2.5372610904904853, -2.6888682834668542, -1.3297231191949332]"
teacher:Why  estimation,0,"[9.243618461655918, -1.690071343209815, -2.10557116424473, -2.788347522636532, -1.1020381516420614, -1.4374812696097643]"
teacher:Hunter can you explain your thinking for this one please,0,"[9.864542863254307, -1.4537428966823578, -2.71465838285463, -2.8900954827236545, -1.0560312297096484, -1.2125436660125226]"
teacher:38 and how did we know it was 38;student:38,0,"[9.691670622198028, -2.7191297143697915, -1.2501239800064081, -2.0116929398605135, -1.645560201923004, -2.0607451307572586]"
teacher:Sandra why,0,"[9.525826829615642, -2.9494155192955205, -2.1653365646866902, -1.850688709861949, -2.851243817670367, -1.7866199778512364]"
teacher:Rogelio why are you saying false,0,"[9.594805350792184, -1.2037124359291822, -1.1247039219506714, -2.282472604420172, -1.631045845725067, -1.4469691293912874]"
teacher:Wait why did you change this to a three,0,"[8.163758397621375, -1.9204678426347321, -1.9272854319526742, -2.2940365500932725, -2.6753145632332034, -2.492669853659727]"
teacher:44 why;student:44 34 24 and all the way to 1,0,"[8.128510408691188, -2.9044076640757295, -1.501811693851835, -1.7838582870536903, -2.0614431407324987, -2.6563013826814466]"
teacher:Karen why do you think its going to be greater,0,"[9.599015635584784, -1.4203644641262372, -2.5502724930630865, -2.45947385680899, -1.084632135611818, -1.2503184285254936]"
teacher:Kayla can you explain the rule why we know its going to be less than 78,0,"[8.976204471147714, -1.740097420074845, -2.391931658280786, -1.447572417747833, -1.0259224859815588, -2.6328692544088055]"
teacher:Why,0,"[9.211519391853162, -2.5451040920501145, -2.879381485047893, -2.0112934471682005, -1.1006231601184138, -1.2428461827004886]"
teacher:How do we know that 14  24 is greater than 12,0,"[9.210071522710718, -1.2857261312853252, -2.006481803635887, -1.2004887547526122, -1.3382648835691928, -1.963056445993264]"
teacher:Rita explain how you knew,0,"[9.09075209465649, -2.9273358169233035, -2.0319399733379413, -2.7915264399956765, -1.414901240772137, -2.0158670962437495]"
teacher:Who wants to share their thinking,0,"[9.706007086895664, -1.2433967839730593, -2.9463897228775053, -1.8449847889163082, -1.9717905937000073, -1.2848981598113245]"
teacher:Eliza show your thinking please;student:Yes,0,"[8.602076037719355, -1.0636370580129542, -1.1307553214922879, -2.646108625283798, -1.461297575894363, -2.7879934805364543]"
teacher:Ay yay yay Hunter why do we want to find a common denominator;student:Becuase you want to know what the warm up was about,0,"[8.533107619939337, -2.2572889293139, -1.4187416055624462, -1.8128113148308596, -1.4161919396490934, -2.6688392605780846]"
teacher:38 and how did we know it was 38;student:38,0,"[8.839897468738931, -2.5674615493650057, -1.8059436383008955, -2.7261231954325185, -1.8907647268896883, -1.500617517916856]"
teacher:Why  estimation,0,"[9.975917833604065, -2.042332515110895, -2.037428096610217, -2.1809476655433984, -1.342374112290219, -1.4136506700115559]"
teacher:Who can tell me why we estimate first,0,"[8.972883474212725, -2.917724142719547, -2.8849505985072197, -1.5245217594471483, -1.4633179533281577, -2.6030667721531966]"
teacher:Why do we estimate,0,"[8.239277764717073, -2.35161214226924, -2.3161650042755397, -2.8839897942468653, -1.774660753320738, -2.177059687892487]"
teacher:Drew why do we estimate,0,"[8.201892566934134, -2.7949696945446107, -1.4608090062867476, -2.626927321598001, -1.226511922976016, -1.1260888091914254]"
teacher:Why else is it important to show your work,0,"[8.571345454859607, -2.2603426948216927, -2.4700063748755516, -1.9453071984759032, -1.8578000756936772, -1.040469295235795]"
teacher:Explain your thinking,0,"[9.457496748070618, -2.776769222247549, -1.6530390832626582, -2.8298141458060835, -1.0541578178711126, -1.2205971529167827]"
teacher:Why does he measure on the bottom,0,"[9.413704128637168, -1.3368259150837483, -2.7407724147514156, -2.5317951527746185, -1.7788310930960944, -1.4911548585991392]"
teacher:Is there any information from your graph that can help you think that;student:Okay so  I think its 12 inches because first of all in this video it says they get to 12 inches and then second of all they look 12 inches because they look like the size of a ruler,0,"[9.871227377980905, -2.3273872208778057, -2.9088877892867546, -1.5109114953157072, -2.5850464729196663, -1.0160901241441047]"
teacher:How do you know from this graph,0,"[9.60102259914316, -1.780739688459708, -1.0885213969231473, -1.8630351333942616, -2.611999091513516, -2.4315995707283093]"
teacher:why do that,0,"[8.357307320062452, -2.653147952893513, -2.0484615245626974, -1.7037306620658814, -1.0783746908062188, -2.296225955715363]"
teacher:Why do we multiply,0,"[9.20166761240094, -2.415441745205254, -2.4939472258041557, -1.095490035161368, -2.6366932360575026, -1.7250151544451864]"
teacher:Blake can you explain your thinking for this one please,0,"[8.564439259472973, -2.6163772592760903, -2.122701347985746, -2.2886375315571317, -1.9055158686095484, -1.778681343168804]"
teacher:Kathleen,0,"[9.570160926255904, -2.5577588976560577, -2.4603785834741116, -1.8500719077916896, -2.6811203063566325, -1.6742515684486334]"
